name,original,sale
"
          THE PASTELS SHOP ""CYMBO"" Cleansing Oil (35ml)
        ",RM  17.00,RM  11.05
"
          THE PASTELS SHOP ""CYMBO"" Cleansing Oil (140ml)
        ",RM  49.00,RM  31.85
"
          THE PASTELS SHOP ""JICAMA"" pH Balanced Gentle Gel Cleanser (35ml)
        ",RM  14.00,RM  9.10
"
          THE PASTELS SHOP ""JICAMA"" pH Balanced Gentle Gel Cleanser (140ml)
        ",RM  37.00,RM  24.05
"
          THE PASTELS SHOP ""JICAMA"" pH Balanced Gentle Gel Cleanser (300ml)
        ",RM  69.00,RM  44.85
"
          THE PASTELS SHOP ""SA"" Daily Exfoliating Cleanser (35ml)
        ",RM  14.00,RM  9.10
"
          THE PASTELS SHOP ""SA"" Daily Exfoliating Cleanser (140ml)
        ",RM  37.00,RM  24.05
"
          THE PASTELS SHOP ""SA"" Daily Exfoliating Cleanser (300ml)
        ",RM  69.00,RM  44.85
"
          THE PASTELS SHOP ""LA-MA"" Daily Exfoliating Toner (35ml)
        ",RM  19.00,RM  12.35
"
          THE PASTELS SHOP ""LA-MA"" Daily Exfoliating Toner (110ml)
        ",RM  59.00,RM  38.35
"
          THE PASTELS SHOP Hydra Sooth Essence Toner (35ml)
        ",RM  29.00,RM  18.85
"
          THE PASTELS SHOP Hydra Sooth Essence Toner (110ml)
        ",RM  69.00,RM  37.95
"
          THE PASTELS SHOP ""TAA"" Hydra Glow Facial Mist (80ml)
        ",RM  59.00,RM  32.45
"
          THE PASTELS SHOP Pimple Patch 36pcs (Hydrocolloid Acne Clear Patch)
        ",RM  9.90,RM  7.43
"
          THE PASTELS SHOP Clear Pores Stick Clay Mask (20g)
        ",RM  29.90,RM  22.43
"
          THE PASTELS SHOP ""AA2G"" Vitamin C Serum (20ml)
        ",RM  42.00,RM  27.30
"
          THE PASTELS SHOP ""SA"" Acne Clear Serum (20ml)
        ",RM  42.00,RM  27.30
"
          THE PASTELS SHOP ""HA"" Hydrating Serum Hyaluronic Acid 5% + PanthenolÂ 5% (20ml)
        ",RM  42.00,RM  27.30
"
          THE PASTELS SHOP ""NAA"" Clarifying Serum (20ml)
        ",RM  42.00,RM  27.30
"
          THE PASTELS SHOP Bakuchiol Solution Retinol Alternative (20ml)
        ",RM  42.00,RM  27.30
"
          THE PASTELS SHOP Barrier Care Serum (20ml)
        ",RM  42.00,RM  18.90
"
          THE PASTELS SHOP ""Cera-HA"" Light Moisturiser (10ml)
        ",RM  19.00,RM  12.35
"
          THE PASTELS SHOP ""Cera-HA"" Light Moisturiser (50ml)
        ",RM  59.00,RM  38.35
"
          THE PASTELS SHOP ""Cera-HA"" Light Moisturiser (150ml)
        ",RM  159.00,RM  103.35
"
          THE PASTELS SHOP ""TAA"" Ultra Light Moisturiser (10ml)
        ",RM  19.00,RM  12.35
"
          THE PASTELS SHOP ""TAA"" Ultra Light Moisturiser (50ml)
        ",RM  59.00,RM  38.35
"
          THE PASTELS SHOP ""TAA"" Ultra Light Moisturiser (150ml)
        ",RM  159.00,RM  103.35
"
          THE PASTELS SHOP ""Cera-A"" Retinol Moisturiser (10ml)
        ",RM  29.00,RM  18.85
"
          THE PASTELS SHOP ""Cera-A"" Retinol Moisturiser (50ml)
        ",RM  89.00,RM  40.05
"
          THE PASTELS SHOP Invisible Sunscreen SPF50 PA++++ (3ml)
        ",RM  8.90,RM  5.79
"
          THE PASTELS SHOP Invisible Sunscreen SPF50 PA++++ (10ml)
        ",RM  29.00,RM  18.85
"
          THE PASTELS SHOP Invisible Sunscreen SPF50 PA++++ (40ml)
        ",RM  69.00,RM  44.85
"
          THE PASTELS SHOP Invisible Sunscreen SPF50 PA++++ (150ml)
        ",RM  209.00,RM  135.85
"
          THE PASTELS SHOP Invisible Sunspray SPF50 PA++++ (50ml)
        ",RM  59.00,RM  26.55
"
          THE PASTELS SHOP Matte Relief Physical Sunscreen SPF50 PA++++ (10ml)
        ",RM  29.00,RM  18.85
"
          THE PASTELS SHOP Matte Relief Physical Sunscreen SPF50 PA++++ (40ml)
        ",RM  69.00,RM  44.85
"
          THE PASTELS SHOP Glow Moist Tinted Sunscreen SPF30 PA++++ (3ml)
        ",RM  8.90,RM  5.79
"
          THE PASTELS SHOP Glow Moist Tinted Sunscreen SPF30 PA++++ (10ml)
        ",RM  29.00,RM  18.85
"
          THE PASTELS SHOP Glow Moist Tinted Sunscreen SPF30 PA++++ (40ml)
        ",RM  69.00,RM  44.85
"
          THE PASTELS SHOP ""Mentha"" Amino BHA Peppermint Shampoo (35ml)
        ",RM  12.00,RM  7.80
"
          THE PASTELS SHOP ""Mentha"" Amino BHA Peppermint Shampoo (300ml)
        ",RM  59.00,RM  38.35
"
          THE PASTELS SHOP Combo Sunscreen
        ",RM  128.00,RM  57.60
"
          THE PASTELS SHOP ""SET PUDAR JERAGAT"" (AA2G Serum 20ml + Sunscreen 40ml)
        ",RM  111.00,RM  61.05
"
          THE PASTELS SHOP ""SET SENANG SIAP"" (HA Serum 20ml + Sunscreen 40ml)
        ",RM  111.00,RM  61.05
"
          THE PASTELS SHOP HA Series (3 in 1) Set
        ",RM  170.00,RM  93.50
